tag_chrom,trait_reported,count
X,Type 2 diabetes without complications,150
X,Coronary atherosclerosis,270
X,Disorders of lipoprotein metabolism and other lipidaemias,1619
X,Diabetes mellitus,818
X,3-hydroxy-1-methylpropylmercapturic acid levels in smokers [Native Hawaiian],35
X,malignant neoplasm of male genital organs (controls excluding all cancers),911
X,"""Gonarthrosis,primary""",67
X,Symptoms and signs involving the digestive system and abdomen,15
X,"""Artrosis, including avohilmo""",69
X,"""Diabetes, insuline treatment (Kela reimbursement)""",948
X,Birth weight,186
X,Total cholesterol levels,418
X,"""Ischaemic heart disease, wide definition""",270
X,Gonarthrosis [arthrosis of knee](FG),44
X,Red blood cell count,6888
X,Arthrosis,83
X,Hernia,22
X,Finngen Rheumatological endpoints,69
X,"""Other diabetes, wide definition""",854
X,Diseases of liver,69
X,Adolescent idiopathic scoliosis,696
X,"Red blood cell traits [Ht, AA]",2353
X,Certain disorders involving the immune mechanism,1
X,Hemoglobin A1c levels,41
X,Low density lipoprotein cholesterol levels,11
X,Prostate cancer,837
X,Height,579
X,"""Type 2 diabetes, definitions combined, including avohilmo""",1620
X,Other infiltrative disorders of skin and subcutaneous tissue,91
X,Fibromyalgia,27
X,"""Organic, including symptomatic, mental disorders""",13
X,"""Type 2 diabetes, wide definition""",114
X,Mitochondrial DNA copy number,87
X,Varicose veins,576
X,"""Diabetes, insuline treatment (Kela reimbursement) (more control exclusions)""",828
X,"""Hypertension, essential""",2
X,Other osteochondropathies,67
X,Other and unspecified spinal muscular atrophies,506
X,Acohol-induced acute pancreatitis,59
X,Abnormal findings in secretions and smears from cervix uteri vagina vulva,305
X,Type 2 diabetes with other specified/multiple/unspecified complications,1697
X,"""Gonarthrosis, primary, with knee surgery""",55
X,Weight,3
X,Diarrhoea in darapladib-treated cardiovascular disease (time to event),2368
X,"""Malignant neoplasm of kidney, except renal pelvis""",112
X,Glycated hemoglobin levels,6993
X,Low density lipoprotein cholesterol levels [EA],11
X,"""Thrombocytopenia, unspecified""",66
X,Mean corpuscular volume [AA],2971
X,Triglycerides,11
X,"Hematology traits [AA, RBC]",2971
X,Hyperplasia of prostate,1619
X,Hematocrit,3231
X,Malignant neoplasm of prostate (controls excluding all cancers),665
X,"""Primary gonarthrosis, bilateral""",58
X,Mean corpuscular volume,6395
X,Hypertension,28
X,Glaucoma,71
X,Abdominal and pelvic pain,323
X,Acute pancreatitis,127
1,Plays computer games,9048
1,Dysmenorrheic pain severity,181
1,Electrocardiogram morphology (amplitude at temporal datapoints) [76 ms],1560
1,Asthma onset (childhood vs adult),363
1,Serum C-reactive protein concentration in obesity,114
1,Myocardial fractal dimension (slice 7),49
1,Protein quantitative trait loci (liver) [C4B],30
1,"None of the above | medication for cholesterol, blood pressure or diabetes",31661
1,Serum levels of protein CLGN,815
1,Systolic blood pressure x smoking status (current vs non-current) interaction (2df test) [African],1183
1,"""Other diabetes, wide definition""",3644
1,LDL cholesterol levels [BMI unadjusted],1786
1,3-methoxytyramine sulfate levels,1953
1,CD3 on HLA DR+ T cell,1537
1,Parkinson's disease or first degree relation to individual with Parkinson's disease,23293
1,Serum metabolite levels (CMS) [M_HDL_P],23256
1,Disorders of the thyroid gland,5042
1,Hair shape,2733
1,Optic disc parameters,200
1,Number of older siblings,16
1,Triglyceride levels [BMI unadjusted],23950
1,LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [EA],70737
1,Verbal-numerical reasoning,19173
1,Neurological blood protein biomarker levels [CTSS],95641
1,Yes | hearing difficulty/problems,66632
1,"Blood protein levels [PRDX6, 5018_68_1]",18994
1,Electrocardiogram morphology (amplitude at temporal datapoints) [38 ms],2793
1,Protein quantitative trait loci [CNTN2],3375
1,Electrocardiogram morphology (amplitude at temporal datapoints) [-476 ms],423
1,"Blood protein levels [EA, Cathepsin S]",85893
1,Electrocardiogram morphology (amplitude at temporal datapoints) [354 ms],3694
1,"""Excessive, freguent and irrelgular menstruation""",111
1,Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS)),5039
1,Protein quantitative trait loci (liver) [CNN2],62
1,Pulse pressure x alcohol consumption interaction (2df test) [EA],2475
1,Bone mineral density (total hip),117
1,Hyperinsulinemia in obesity,361
1,Serum levels of protein C17orf78,203
1,Other embolism and thrombosis,77
1,Electrocardiographic conduction measures [QRS duration - CHARGE],102
1,Malignant neoplasm of pancreas (controls excluding all cancers),15
1,Age at first sexual intercourse,98286
1,Urinary metabolite levels in chronic kidney disease [4-guanidinobutanoate],22430
1,Electrocardiogram morphology (amplitude at temporal datapoints) [154 ms],6158
1,Coronary heart disease,6113
1,Narcolepsy,545
1,Type 1 diabetes and autoimmune thyroid diseases,1146
1,LDL cholesterol levels in current drinkers [AA],2027
1,Ulcerative rectosigmoiditis,1269
1,Phlebitis and thrombophlebitis (not including DVT),22
1,Hemoglobin A1c levels,389471
1,Migraine and/or diastolic blood pressure,13710
1,"Blood protein levels [B3GALT6, 7981_230_3]",33901
1,Lymphocyte count,15830
1,Fibrinogen,2721
1,ADHD vs autism spectrum disorder (ordinary least squares (OLS)),13706
1,Frequency of tiredness / lethargy in last 2 weeks,2779
1,Facial morphology (columella inclination),145
1,Serum levels of protein MINPP1,1191
1,Enterococcus abundance in stool,237
1,6mm asymmetry angle (left),42
1,Microalbuminuria,360
1,Myeloid white cell count,120296
1,Inflammatory skin disease [Opposed],28016
1,Serum creatinine levels,165607
1,Fish oil (including cod liver oil) | mineral and other dietary supplements,2318
1,"Intra-ocular pressure, goldmann-correlated (right)",11638
1,Extremely high intelligence,5976
1,G_Alistipes abundance,2555
1,IgD- CD38+ B cell %B cell,287
1,Anorexia nervosa,66
1,Protein quantitative trait loci (liver) [IGKC],2
1,"Blood protein levels [EA, Catalase]",2027
1,Plasma factor V levels in venous thrombosis,2594
1,Plasmacytoid Dendritic Cell %Dendritic Cell,9156
1,Glaucoma (primary angle closure),500
1,Usual walking pace,2628
1,Mortality after unrelated donor allogeneic hematopoietic cell transplantation (donor-recipient mismatch),79
1,Interleukin-6 levels in HIV infection [AA],64
1,CCR2 on monocyte,1072
1,Breast size,3085
1,Pediatric asthma,749
1,Sortilin levels (ELISA),2027
1,Autism spectrum disorder or schizophrenia,12105
1,Electrocardiogram morphology (amplitude at temporal datapoints) [70 ms],1560
1,Macular thickness,7990
1,Plasma proprotein convertase subtilisin/kexin type 9 levels in stable coronary artery disease [statin-free],176
1,Serum levels of protein PLA2G12B,1923
1,Left parahippocampal gyrus cortical thickness [EA],110
1,Serum levels of protein CXCL6,113
1,Time spent doing light physical activity,63
1,Morbidity-free survival,258
1,Megasphaera elsdenii abundance in stool,152
1,Femur bone mineral density x serum urate levels interaction,10783
1,Folate pathway vitamin levels [Plasma homocysteine],10768
1,Waist circumference [EA],5388
1,N-terminal pro B-type natriuretic peptide levels [Conditional],2876
1,CD62L on monocyte,11373
1,"Blood protein levels [PPT1, 9244_27_3]",5968
1,Electrocardiogram morphology (amplitude at temporal datapoints) [266 ms],758
1,Fasting plasma glucose,767
1,Protein quantitative trait loci (liver) [ATOX1],617
1,Protein quantitative trait loci (liver) [LAMP2],430
1,Folding of antihelix,26
1,Adolescent idiopathic scoliosis,62981
1,Cancer,7885
1,Serum levels of protein SULT1B1,4060
1,"Blood protein levels [CFHR5, 3666_17_4]",15567
1,Electrocardiogram morphology (amplitude at temporal datapoints) [30 ms],29621
1,PDL-1 on CD14- CD16+ monocyte,8728
1,Serum levels of protein S100A4,7430
1,Glycated haemoglobin HbA1c levels adjusted for BMI,2714
1,Lumbar spine bone mineral density (trabecular),1822
1,Bone mineral density (hip),2602
1,Facial morphology (segment 13),396
1,"Blood protein levels [NEGR1, 7050_5_3]",1108
1,Circulatory disease nec,68
1,Serum levels of protein AMY2B,398
1,Body mass index (joint analysis main effects and smoking interaction) [men],602
1,Fatty acid(16:1)_[M-H]1- levels,1
1,Temperament (bipolar disorder) [Irritable],8104
1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 measurement",17550
1,"Body mass index [EA, women]",5513
1,Complement C3 and C4 levels [Serum level of C3],2115
1,Chymotrypsin C levels,161
1,"Pneumothorax | non-cancer illness code, self-reported",2406
1,Headache [allelic],415
1,Biomedical quantitative traits [pulse rate],6129
1,IgE levels,3318
1,Serum metabolite ratios in chronic kidney disease [Decanoylcarnitine/Tetradecenoylcarnitine],52432
1,"Blood protein levels [PPIE, 5238_26_3]",8433
1,"Hypothyroidism/myxoedema | non-cancer illness code, self-reported",56263
1,Isobutyrylcarnitine (c4) levels,3726
1,Electrocardiogram morphology (amplitude at temporal datapoints) [170 ms],15390
1,Leukocyte telomere length,3224
1,Anxiety,1598
1,Neuroticism conditioned on highest math class (multi-trait conditioning and joint analysis),6941
1,Leiomyoma of uterus,1345
1,"Large bowel cancer/colorectal cancer | cancer code, self-reported",359
1,Processed meat consumption,32
1,Schizophrenia or schizoaffective disorder,4
1,Colon polyp,5484
1,6mm weak meridian (right),38045
1,Malignant neoplasm of skin,17898
1,C4b binding protein levels [%a7b0],1468
1,Electrocardiogram morphology (amplitude at temporal datapoints) [84 ms],7916
1,"""Coxarthrosis, primary, with hip surgery""",2015
1,"Blood protein levels [EA, Chitotriosidase-1]",1000
1,Seronegative rheumatoid arthritis,178
1,Unspecified urinary incontinence,206
1,"Facial morphology traits (59 NSCL/P endophenotypic segments) [Quadrant III (Mandible), Segment 6]",287
1,"""Type 1 diabetes, strict (exclude DM2)""",178
1,Electrocardiogram morphology (amplitude at temporal datapoints) [-62 ms],86
1,"Blood protein levels [NTNG1, 5637_81_3]",154
1,Carotid Intima-media thickness (mean of the maximum cIMT),31
1,Precentral gyrus volume,2
1,Breast cancer (estrogen-receptor negative),19911
1,Acylcarnitine levels [Decenoylcarnitine],52776
1,Blood glucose levels,32075
1,Serum metabolite levels [decanoylcarnitine],157506
1,Word interpolation | fi3 ,14427
1,Serum metabolite levels (CMS) [L_LDL_C],1923
1,Electrocardiogram morphology (amplitude at temporal datapoints) [342 ms],4890
1,Serum levels of protein ST6GALNAC2,6106
1,Addison's disease,178
1,"Sphingomyelin (d18:2/16:0, d18:1/16:1) levels",911
1,Gluten-free | type of special diet followed,231
1,Dessert consumers,25
1,Disorders of lipoid metabolism,25649
1,Lymphocyte counts,1475977
1,Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),23270
1,"Blood protein levels [CFHR4, 6471_53_3]",20498
1,Whole body fat-free mass,245437
1,Cataracts [female],5542
1,"Blood protein levels [EFCAB14, 9514_46_3]",14018
1,Urinary metabolite levels in chronic kidney disease [glucuronide of C10H18O2 (12],6741
1,Current | smoking status,4531
1,Ascending aorta maximum area,2874
1,Urinary metabolite levels in chronic kidney disease [phosphoethanolamine],38
1,"""Chronic myeloid leukaemia [CML], BCR/ABL-positive""",35
1,Feeling worry,10697
1,Serum levels of protein INPP5B,7321
1,Body mass index [EA],8450
1,Complement component C8 gamma chain measurement,6937
1,Acne,236
1,Serum levels of protein CXCL5,113
1,Brain region volumes [left inferior parietal],28
1,Venous thromboembolism,12591
1,"Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test) [AA, EA]",20043
1,Serum levels of protein ZAP70,12212
1,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction),7926
1,Palmar fascial fibromatosis [Dupuytren],3281
1,Serum levels of protein IL34,6106
1,Serum amyloid A-2 protein measurement,1355
1,Serum metabolite levels (CMS) [TG_PG],1221
1,Wholemeal or wholegrain | bread type,32
1,Electrocardiogram morphology (amplitude at temporal datapoints) [-38 ms],27
1,Subcortical volume (MOSTest),118343
1,Citramalate levels,2064
1,Serum metabolite levels [indoleacetylglutamine],43794
1,Diastolic blood pressure x smoking status (ever vs never) interaction (2df test) [EA],23164
1,HLA DR on Dendritic Cell,8685
1,Protein quantitative trait loci (liver) [USP14],47
1,"Disorders of muscle, ligament, and fascia",4934
1,Interleukin-6 gene expression levels in non-alcoholic fatty liver disease x mastiha supplementation interaction,723
1,Osteoarthritis (hospital diagnosed),950
1,Serum C-reactive protein concentration,2509
1,Protein quantitative trait loci (liver) [EIF2B1],445
1,Protein quantitative trait loci (liver) [SLC25A13],118
1,Chronic parodontitis,70
1,"Systolic blood pressure x alcohol consumption interaction (2df test) [AA, EA]",389
1,Cheft hard palate NOS,39
1,"""Seropositive rheumatoid arthritis, wide""",178
1,Chin morphology,3018
1,Current tobacco smoking,4531
1,Serum levels of protein CSMD2,2391
1,Feeling guilty,902
1,Amyotrophic lateral sclerosis,2490
1,Other arrhytmias,489
1,BAFF-R on IgD- CD27- B cell,1072
1,Body fat distribution (trunk fat ratio),26503
1,Serum levels of protein TNFRSF13B,24914
1,Serum levels of protein C3orf18,6106
1,Arrhythmia,7620
1,Ratio of apolipoprotein A1 to apolipoprotein B,1923
1,"Thyroid problem (not cancer) | non-cancer illness code, self-reported",1664
1,Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular) [additive model],178
1,Ever suffered mental distress preventing usual activities,117
1,1-linoleoyl-gpc (18:2) levels,20
1,Leg | fractured bone site(s),140
1,Blood protein levels in cardiovascular risk,35836
1,Total cholesterol levels [Trans-ethnic initial],88934
1,Blood metabolite levels [decanoylcarnitine],52776
1,Diprobase cream | treatment/medication code,5694
1,CD62L on CD62L+ Dendritic Cell,3837
1,Ever used hormone-replacement therapy (hrt),1570
1,Migraine - clinic-based,301
1,Congenital anomalies of great vessels,142
1,Depressive symptom (fatigue) (ordinal trait),1438
1,Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Asian],23178
1,ADHD vs anorexia nervosa (ordinary least squares (OLS)),562
1,Protein quantitative trait loci (liver) [COL18A1],12073
1,Coffee consumption (cups per day),782
1,Protein quantitative trait loci (liver) [ATIC],57
1,"Monocyte differentiation antigen CD14, soluble measurement",1200
1,Choline phosphate levels,2147
1,CD33 on CD33dim HLA DR+ CD11b-,1072
1,Electrocardiogram morphology (amplitude at temporal datapoints) [-456 ms],423
1,Protein quantitative trait loci (liver) [LDHB],647
1,Growth-regulated protein alpha levels,2283
1,Blood protein levels [GMP140],128
1,Acute pancreatitis,54
1,Betnovate cream | treatment/medication code,45
1,LDL cholesterol levels in current drinkers,70701
1,Orofacial clefts,8734
1,Blood protein levels [Calcium/calmodulin-dependent protein kinase type 1],3417
1,TB-LM or TBLH-BMD (pleiotropy),1111
1,Serum levels of protein PPT1,11017
1,Electrocardiogram morphology (amplitude at temporal datapoints) [-122 ms],315
1,"Waist circumference [EA, women]",2202
1,Chronic obstructive pulmonary disease in non-current smokers,554
1,Normal facial asymmetry (angle of surface orientation score) [≥14 yr],227
1,Inflammatory biomarkers in Kawasaki disease [C-reactive protein],1021
1,Human milk oligosaccharide concentration (3'-fucosyllactose) in secretors,39
1,Waist-to-hip ratio adjusted for body mass index [women],12387
1,"Blood protein levels [ANGPTL1, 11142_11_3]",1748
1,BAFF-R on IgD+ CD38dim B cell,1072
1,CX3CR1 on CD14- CD16+ monocyte,1072
1,Neuroticism conditioned on educational attainment (multi-trait conditioning and joint analysis),5265
1,LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Asian],2027
1,CD3 on CD4+ T cell,917
1,"Blood protein levels [LEPR, 5400_52_3]",2178
1,Urinary calculus,464
1,Sphingomyelin_42:3_[M+OAc]1- levels,18
1,Ventral thalamic nuclei volume,12439
1,Mean corpuscular haemoglobin,218497
1,Age started hormone-replacement therapy (hrt),1412
1,Corneal hysteresis (right),3135
1,Carotid artery stenosis,1470
1,Pancreas fat,2148
1,Brain region volumes [cerebellar vermal lobules VI VII],1107
1,Post bronchodilator FEV1/FVC ratio,97
1,Facial morphology (segment 14),14424
1,Serum levels of protein BAG5,203
1,Serum levels of protein WFDC1,23145
1,Multivitamins +/- minerals | vitamin and mineral supplements,13913
1,QRS duration [EA],5243
1,Oily fish intake,2798
1,Vitamin C levels,1238
1,Percentage of invited food questionnaires completed,8867
1,Protein quantitative trait loci (liver) [SPTAN1],88
1,Tobacco use disorder,1994
1,Serum metabolite levels [S_LDL_FC],1923
1,"Blood protein levels [C4BPA, 9449_150_3]",608
1,Protein levels in obesity [NPS-PLA2],284
1,Lipoma of skin and subcutaneous tissue,85
1,Pulmonary embolism,138
1,Bone mineral density (Ward's triangle area),38
1,Hepatitis,243
1,Osteoarthritis,47995
1,Serum levels of protein SYNCRIP,6106
1,"Blood protein levels [ANAPC7, 11690_47_3]",29372
1,Hip bone size,12394
1,Diabetes mellitus,4188
1,"""Coxarthrosis,""",990
1,FSC-A on Natural Killer,686
1,Colon cancer,522
1,Diffusing capacity of carbon monoxide [EA],211
1,Immune response to measles vaccine (measles-specific neutralising antibody titre) [EA],9202
1,Urinary metabolite levels in chronic kidney disease [hexanoylglycine],52413
1,Epilepsy,2502
1,Blood protein levels [SORT1],1923
1,Blood protein levels [Dynein light chain roadblock-type 1],243
1,Hemoglobin concentration,729310
1,Lung function (FVC) [adults],91659
1,Cortical surface area,375544
1,6mm strong meridian (left),34956
1,CX3CR1 on CD14+ CD16+ monocyte,1072
1,"Inguinal hernia | non-cancer illness code, self-reported",3686
1,Protein quantitative trait loci (liver) [S100A9],1414
1,High myopia,1587
1,Electrocardiogram morphology (amplitude at temporal datapoints) [14 ms],709
1,Dickkopf-related protein 1 levels,225
1,Response to statins (LDL cholesterol change),2027
1,Amyotrophic lateral sclerosis [survival],3740
1,CAG-245 sp000435175 abundance in stool,2355
1,Hyperthyroidism or thyrotoxicosis,10437
1,Serum metabolite levels [S_LDL_CE],1923
1,Platelet count [conditional on round 2],1120
1,Electrocardiogram morphology (amplitude at temporal datapoints) [128 ms],7867
1,Electrocardiogram morphology (amplitude at temporal datapoints) [366 ms],3694
1,Serum levels of protein TST,2299
1,Serum levels of protein EPHA2,5884
1,Degeneration of macula and posterior pole,6106
1,Serum levels of protein DPT,1132
1,Prostate cancer [EA],1959
1,Blood protein levels [Kunitz-type protease inhibitor 1],2765
1,Lipoprotein-associated phospholipase A2 activity and mass [Activity concentrations],1923
1,Electrocardiogram morphology (amplitude at temporal datapoints) [272 ms],758
1,Protein quantitative trait loci (liver) [WARS],156
1,Brain region volumes [right parahippocampal],34
1,Age at voice drop,4212
1,Digit length ratio (right hand),26477
1,Low density lipoprotein cholesterol levels,662634
1,Age-related macular degeneration [EA],6035
1,Hippurate levels,6012
1,"Blood protein levels [TIE1, 2844_53_2]",10846
1,Insomnia symptoms (never/rarely vs. sometimes/usually),2853
1,Serum levels of protein NCF2,6106
1,Eye morphology [Intercanthal width],1328
1,Brain region volumes [right cerebellum white matter],1825
1,Acute tubulo-interstitial nephritis,652
1,Thyroid hormone levels [TSH],2284
1,Electrocardiogram morphology (amplitude at temporal datapoints) [106 ms],1407
1,Electrocardiogram morphology (amplitude at temporal datapoints) [260 ms],758
1,Dermatitis and eczema,854
1,Carpal tunnel syndrome,729
1,Protein quantitative trait loci (liver) [MTHFS],62
1,Type 2 diabetes [EA],19
1,Vitamin B levels in ischemic stroke [Vitamin B6],1026
1,Serum levels of protein DSG1,6106
1,Electrocardiogram morphology (amplitude at temporal datapoints) [12 ms],47268
1,Plasma thyroid-stimulating hormone levels,3777
1,Ambidextrousness,1161
1,Amino acid levels [Serine],560
1,Sodium levels,119298
1,Serum levels of protein MYNN,6106
1,Birth weight (MTAG),3739
1,Goiter,7696
1,Serum levels of protein APCS,2759
1,Exudative age-related macular degeneration,8325
1,Parkinson's disease (more control exclusions),1169
1,Serum metabolite levels (CMS) [LDL_C],1923
1,Non-rheumatic valve diseases,156
1,"Pernicious anaemia | non-cancer illness code, self-reported",178
1,Urate levels in overweight individuals,343
1,Serum metabolite levels (CMS) [L_VLDL_FC],592
1,Other/unspecified rheumatoid arthritis,178
1,"Hip circumference adjusted for BMI [EA, women]",9527
1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 measurement",6106
1,Serum levels of protein CA4,6106
1,Serum levels of protein MMP1,5848
1,Noninfective enteritis and colitis,6624
1,Serum metabolite levels [IDL_FC],1923
1,Serum 25-Hydroxyvitamin D level variance,1238
1,"Yes, now a lot of the time | tinnitus",142
1,Diabetic ketoacidosis,178
1,Protein quantitative trait loci (liver) [AP1G2],44
1,QT dynamics during exercise [female],6215
1,Total cerebellar volume (excluding Crus I vermis),4727
1,Adult onset asthma and/or BMI,2718
1,CD40 on CD14+ CD16+ monocyte,1072
1,Second line medication for Crohns disease,384
1,Diabetic neuropathy,178
1,Optic disc area [Asian],467
1,Sphingomyelin_42:2_[M+OAc]1- levels,18
1,Metabolic syndrome,64686
1,White matter microstructure (mode of anisotropy) [Anterior limb of internal capsule],12928
1,Gout,33345
1,Serum metabolite levels (CMS) [S_VLDL_TG],23848
1,Serum levels of protein SFRP2,6106
1,CD62L- plasmacytoid Dendritic Cell %Dendritic Cell,8769
1,"Red blood cell traits [EA, MCHC]",2805
1,Serum total protein level [conditional on round 5],1114
1,Amias 2mg tablet | treatment/medication code,1746
1,Betamethasone | treatment/medication code,1367
1,Glycemic traits (pleiotropy),74
1,"Urinary metabolite modules (eigenmetabolites) in chronic kidney disease [methylsuccinoylcarnitine,  X-24468,  X-24469,  X-24971]",346
1,Local histogram emphysema pattern [normal],105
1,"Blood protein levels [EA, Calcium/calmodulin-dependent protein kinase type 1]",53
1,Protein quantitative trait loci (liver) [CROT],1
1,Medication use (diuretics),61956
1,Time spend outdoors in summer,48106
1,Total testosterone levels,296827
1,Metabolic syndrome [HDL],599
1,Fasting glucose,8194
1,Affective disorder and suicide attempts,717
1,"Blood protein levels [PIGR, 3216_2_2]",4526
1,Dokdonella abundance in stool,62
1,Progranulin levels,3950
1,High light scatter reticulocyte count,477440
1,Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [EA],23178
1,Plaquenil 200mg tablet | treatment/medication code,2342
1,Soluble E-selectin levels (adjusted for ABO rs2519093 genotypes),3177
1,Vascular endothelial growth factor levels,658
1,Acute anterior uveitis (with or without ankylosing spondylitis),532
1,Nonalcoholic fatty liver disease,92
1,Protein quantitative trait loci (liver) [PKM],156
1,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),7621
1,Mean reticulocyte volume,518902
1,"Blood pressure medication | medication for cholesterol, blood pressure or diabetes",25480
1,Electrocardiogram morphology (amplitude at temporal datapoints) [352 ms],3694
1,Ischemic heart diseases,10920
1,Serum levels of protein FRZB,6106
1,Serum levels of protein S100A6,7430
1,Diabetic retinopathy (more control exclusions),6284
1,C-reactive protein levels [women],5516
1,Serum levels of protein S100A5,1088
1,Fusobacteriaceae abundance in stool,2669
1,Sex ratio,5170
1,Public transport | types of transport used (excluding work),245
1,Facial morphology traits (63 three-dimensional facial segments) [facial module 41],413
1,Interleukin-6 levels,14723
1,Serum levels of protein CRYZ,9931
1,"Blood protein levels [ANGPTL3, 10391_1_3]",23256
1,Other diabetic retinopathy,178
1,Metabolite levels [NG monomethyl arginine],7392
1,Paroxetine | treatment/medication code,26
1,Protein quantitative trait loci (liver) [HIST1H1C],22
1,Azathioprine | treatment/medication code,113
1,ADHD vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS)),4
1,"Blood protein levels [NDUFS4, 10584_7_3]",32309
1,Leisure sedentary behaviour (television watching),45823
1,Pre-treatment viral load in HIV-1 infection,3580
1,Adult onset Still's disease,428
1,Protein quantitative trait loci (liver) [NAGA],197
1,"Blood protein levels [EPHB2, 8348_4_3]",335
1,C-reactive protein levels or LDL-cholesterol levels (pleiotropy),2503
1,Glaucoma (multi-trait analysis),23713
1,Left ventricular end-systolic volume,9676
1,Calcium levels,285338
1,Hypothyroidism or myxedema,56731
1,Blood metabolite ratios [acetylcarnitine/hexanoylcarnitine],52789
1,"""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)""",8320
1,CD3 on Terminally Differentiated CD4+ T cell,890
1,Chronic lymphocytic leukemia,2221
1,Cylindrical power (left),522
1,Lung function (FEV1) and waist circumference adjusted for BMI [East Asian],439
1,DNER levels,131
1,Calculus of ureter,337
1,Triglycerides x physical activity interaction (2df test),23256
1,"Diastolic blood pressure x alcohol consumption interaction (2df test) [AA, EA, Hispanic]",17360
1,Protein quantitative trait loci (liver) [RTN4],1163
1,Serum levels of protein GPD1L,6106
1,Electrocardiogram morphology (amplitude at temporal datapoints) [300 ms],5057
1,BAFF-R on IgD- CD24- B cell,1072
1,BMI in non-smokers [EA],766
1,Hematocrit [Hispanic/Latino],92
1,Serum levels of protein TPMT,106
1,Other adrenocortical overactivity,88
1,Particulate matter air pollution (pm10); 2007,1
1,Febrile seizures [MMR-related vs MMR-unrelated],9836
1,Urinary metabolite levels in chronic kidney disease [heptanoylglutamine],52432
1,Hydrocortisone | treatment/medication code,861
1,Bendroflumethiazide | treatment/medication code,434
1,"Hayfever/allergic rhinitis | non-cancer illness code, self-reported",916
1,Serum levels of protein HFE2,2027
1,Aortic valve stenosis,142
